id,transcription
71030,ɛ n ɔ ʏ ð a ʁ ð ə n ɛ ə ɡ i n ə n v ɛ ə ɾ n ʊ ə lʲ ɪ m ə f ʏ n s t ɪ ç ə ʁ ʊ n f ʁ a s ɛ t ə v ɛ ə d ə n ʊ n ts ɪ x ɪ m ə v a ɪ t ə a n v a ɪ t ə f ɛ ə b a ɪ t ə n
71096,ɪ x m a k a m lʲ ɪ x t b e ə n ɛ ə t m a j ð ə w a ə l a s ʃ ə n b ɔ n ɪ s t ʊ lʲ m a l s f i n t l ɛ s ə n ɪ
71253,f ɛ̃ n ə ʃ f ʀ a ɾ ts a ð ɪ x f ɛ n d ɹ̩ v a s t d i ɟ ɛ z t ð ɛ ɾʲ ɪ t͡ʃʲ æ f t i b̥ ʌ tʰ ɪ n k i m a v ʌ n lʲ ɹ̩ t ɪ ŋ ə ɹ ɪ f ɪ s t ɒ j t uə ʌ t͡ʃʲ æ n f ɔ tʰ ə z ɒ l̪ d ə n ɪ t̪ʰ iː lʲ ɒ b̞ uː i ɛ p ɑ n iː ʃ t ʌ z ɯ d i d y z ɹ̩ dʒ ʌ t ɹ̩ t h o w m ɔ l̪ g i ɪ n ə m ʌ s ɹ̩ g ɪ p t n ð ə ʌ v d ɛ g iː d æ n tʂ ɹ̩ æ z ɔ t̪ʰ i d ɪ d ʌ g t mʲ ə n d ɪ n ð ɛ g ə z ɛ t͡ʃʲ ɒ s t æ n tʰ w ʏ b̞ ɹ̩ ɾʲ ɪ n k l i m ɒ j b̞ ʌ n d ɨ tʰ i z d ɛ n t v a j tʰ k̟ʲ ə f e j x ə w tʰ t ɛ tʰ m a j n m ʌ n s ɪ n ə tʰ s o w f iː z ɹ̩ v ɑ x ɹ iː d ʌ ɾ p ʏ x t ɪ ʃ ɪ n f ɹ ʌ m ɒ ts ə ʌ n b̥ ɑ l̪ ɹ d ә n d ɹ̩ j tʲ ɪ n ɪ x ʌ v æ n ɔ l f ə t̪ i t ə θ i h ə z ɛ ɾ t͡ʃʲ ʌ v ɤ a j n uə ɹ ɒ j lʲ ə m a j n ɔ̃ n t h æ d s ə n æ n ɪ s d͡ʒ ɹ ʌ b̥ lʲ l ʌ s æ l ə z ʌ p ə ɾʲ ɛ k t ə s f ʌ l̪ m b̥ f ɔ ɹ j ɪ n g l ʌ v ә m ɑ d ɤ s t ʌ f ə tʰ ɒ s n iː ʂ p ɪ n tʂ ə l ə s pʲ ɪ s t uː m g l ɑ l̪ ɡ ә n ð ɹ̩ s ʌ z b̥ ɛ w ɪ n b̥ ɪ n ɪ ŋ n æ ɹ t͡ʃʲ ə l t ə k ʌ tʰ ʌ t ɔ l̪ f ɹ f ɹ uː tʰ ɪ z ɒ l̪ l ə s t ɑ ɹ b̥ ɤ̆ l ɛ s ɪ n ð ə iː s t ɪ ŋ k̟ʲ u d ɪ ts ɹ̩ t͡ʃʲ ʌ v t ə b̥ ɪ w k i m ɒ v ʌ n d ɹ̩ j ɤ ʔ æ s s̪ ɯ ð ə h æ z ð ɪ s ɪ n k ʁ ʌ m p ɾ ɛ k t ə z t̪ʰ i m ɒ j t e k m ɒ t ə θ ɪ ŋ tsʰ ə n i z m ɒ ɻ ɨ ʂ ɻ̩
71254,m a ɪ l i t n ɪ ŋ s pʲ ɛ t ʁ ɪ ŋ k̟ʲ iː s t m e n ɳ n ə ʀ ɑ ɾ v a s ə ɡ a n ts ɑ m a ŋ ɛ s m e ɪ n ə ʀ ɑ l v a z ə t͡ʃʲ p uə l ɪ b̞ a z ə ʌ ʁ m e ɾ k ɔ n ts ə ʀ œ ʃ m ɛ̃ n t n ɪ x t͡ʃʲ v ɪ ə t a ʁ ɔ n kʰ ɔ n ts ə ʁ ɛ t ʁ ɪ ŋ ʁ n m ɪ t͡ʃʲ p uə lʲ ə ɪ x b a ɪ ɔ n ɪ x ɪ s t p a ə f ə n ʀ o lʲ n ə t ʌ ʀ ə k ɛ b ə v a s ɹ̩ z v ʌ m ɒ j l̪ ʁ w ɨ m ə n j ɛ tʰ ts ɒ ʁ t ə uə d ə s h ɒ d tɕ j ɛ k ɒ ɲ n ə ʂ m a k iː æ n z ɪ x w æ ɾʲ iː p ɾʲ ɪ ŋ s ɡ iː t ʁ ɒ n t iː z uə ɑ t ə f
71255,p ɾ uː ə n ɪ x ʁ ʀ a ɡ t ɛ x ɪ s t ə x ə m a ɪ s t ə n m ɑ ɡ ʊ l w ɑ ɹ ʀ ʊ m d a s ð ɛ s k a n s t n ɪ t͡ʃʲ b̥ a n f ɔ tʰ n ɪ x m a j k æ l ə t iː ʁ ʌ v g l a j x a w tʰ æ n d v a j z ə n æ tʰ ɪ ɾʲ x h æ p b̥ ɑ n ʌ m t ɨ s t ʌ ɾ ə n l lʲ i v m s ə f ɑ x ə l n e j n iː tʃ ә m a j m æ m ɹ̩ d tʰ k æ t̪ s ə n h ɔ ɳ tʲ iː v m ɛ m ə t̪ʰ iː h ɑ ɹ ɾ j u ә ɴ t̪ʰ iː n b̥ a j s ɛ n tʲ k ə n i n tɕʰ ɪ ŋ t ð ɨ l̪ ʌ s ʌ m b̥ ʌ tʰ l ʌ s ɯ z ʌ æ n v ɛ n t͡ʃ ə n h œ tʰ ə n ɪ n d ɪ n e t̪ʰ ə n tʰ uə g e j v ə l z ʌ v ts ə h ɒ l̪ z ə h ɑ ɹ d ə n æ n ɑ ɹ g ɹ̩ ɯ ɪ ŋ g l i b̥ ɛ s ə tʰ ə f ɔ ɹ h ɪ ə n ɒ j z tʲ ɪ tʰ m ɪ d k ɒ n ɑ ɹ n ə l ɒ b̥ l ɨ f n w ɯ g ɛ tʰ ɒ f ә n t̪ʰ ɛ n ə ʔ ɤ ɔ ɹ z l ɒ j s ə n t s iː n s tʲ i ʌ ŋ æ tʰ m e j k ts o l d͡ʒ iː ʂ ɻ̩ ʁ ə tʰ i v ə n ɔ lʲ ɹ̩ h i ɑ f v œ lʲ tʰ t i ə b̞ ʏ ɾ iː t͡ʃʲ b̥ a j n ɹ̩ ʔ ɛ m d ɑ k s ð h ɻ̩ v ɾ f ɑ k s t ɒ n æ ɾ ә l æ β ə m u n d t t̪ʰ h ə s æ l ə z ʌ m t ɛ z b̥ ɪ l̪ i s a ŋ j ɤ
71256,ʔ æ a s̪ ʌ ɕ j a n ɴ ɒ tʰ uə k ɪ m mʲ i e s ij j a s̪ o uə aː lʲ a s̪ ә m a ɴ ɳ iː ɴ ð ɒ β ɒ ʂ ɒ ɴ ɳ ɴ iː tʲ iː ɰ iː v ɛ j a m ɒ x ә ɴ m o n ɒ t ә b ɪ f uə a t̪ ts uə k t̪ e n ә b ɤ̆ k a ð a ɒ w ә k͡p̚ j iː e iː ɪ ɴ iː s̪ s a l̪ f t iː t ts ɒ j t̪ f uə m a d iː ʃ a ʂ ɒ ɴ t͡ɕ œ f t ɨ ɪ ʁ ɒ j ɴ ɒ w ә s̪ ɒ t ɨ s ɒ w ә t̪ ɯ s̪ t̪ ʁ ʌ s̪ t uə ts uə l̪ a s a n s ɛ n s ɛ m ɒ s̪ ð e ʂ uː j e ɴ o ɴ d j a ɒ n ʁ a ɴ d ɒ b̞ ɛ ɾʲ i j s t̪ ɒ ɴ d iː j a ɾ ә s̪ a e t̪ iː ɴ d̪ iː b̞ ɒ l̪ m i j ʔ ɒ x ә ts a j t ә ɴ b̤ uə ʏ l y ɴ a z a m a ɴ ʔ a t͡ɕ o ɾ iː ɕ ɒ ә b ʏ s̪ iː ɴ d ɴ j a k͡p̚ s̪ n ɔ x ɒ j ɴ z ʏ n s ʌ n d uə k iː k m ɒ j n iː s̪ b œ ə ð ɔ o ʁ k͡p̚ ә ɴ v i ɳ n tʲ ʌ m ɯ j u ɡ ɪ ɴ ɔ b̞ ɒ ɴ n iː ɕ t͡ɕ ɔ ɳ iː ɕ i a ð tʂʰ a tʂʰ ə ʏ o lʲ o uə pʰ iː e tʂʰ o
71257,a l ə v ɪ x m a l t h a k t u ə m d ɪ ə ʊ v ɛ l ts ɹ̩ ə ʃ ʏ ts n a f ɪ n t ɹ̩ ɡ a n ts ɪ m p lʲ l ə ð a x ə n ɪ x v ʏ ə t ə n i m a l d a m e ɡ ə n v ɛ x ə n m ʏ lʲ t a t ʏ t͡ʃʲ a pf a l f ɔ n f ɔ n ɛ g ʌ z ɨ ŋ̟ j ɪ ə t ə n ð a x ʁ n ɨ ð ə ts ɔ s ə n d i n ɑ t ʊ ə v ɛ ə f ə n ə ɕ ɹ̩ ɑ g ɨ h ɹ̩ ʀ e ɑ ɹ f ɯ l o j tʰ ə n t i v ɛ n zʲ i ʌ n æ p a ɹ k ə l ɾ ə m z i ɾ b̥ ʌ tʰ ts ð ə ɪ ŋ k iː t ɑ n ɹ̩ ɛ v ɹ̩ x uə n m u k ɪ f iː ɾ m u ʌ f ə t ɒ d zʲ i n ʌ b̥ t̪ʰ ɪ g iː d ʌ k t͡ʃʲ b̥ i n ʌ s̪ æ f ts ə h ɪ m b̥ ʌ n ɪ x ʌ b̥ ə l ts uː tʰ w ɹ̩ ə b̥ ɹ̩ w n iː tʂ ɹ i k s ɯ m b̥ h ɪ z ɪ s t ʌ v ɹ̩ ɑ m ɛ z k ə m f ɔ ɹ lʲ ʌ v s w ɯ t̪ n iː u m ɔ̃ z ts ə l ɤ k ʀ a j s t ɒ n ʌ v b̥ ə v æ s ə n ʌ v ɒ l̪ d k̟ʲ iː ɪ n ʌ n d tʲ ɛ n w ɹ̩ l ɒ l̪ s ɒ m ɨ b̞ ɹ̩ ɾ t̪ʰ ə m ɛ n ʃ ə n t̪ʰ ɒ j w ɒ l z t̪ʰ ð ə œ̃ n ɳ iː ɕ x ə n ð ɛ ɒ g ə tʰ ʌ p ts o w ð ɪ n ʌ b̥ ɔ l̪ lʲ ə n ʔ ɒ j m ɑ f ɒ l̪ l t̪ ә n ə f ð ɨ s ɒ d z ɒ v ð ə s o b p lʲ a ɒ j ɲ n iː t͡ʃʲ h ɒ t̪ ə n o j n l ɒ s̪ iː h ɒ l̪ p ð e s̪ iː ŋ̟ n ɔ ʁ t̪ʰ uə o n m d iː o ŋ̟ b ɛ ɾ tʂ ɪ ʂ ɨ t̪ ə n t̪ a m t̪ʰ ɒ s̪ p e k t͡ɕ iː ɾ ɪ d iː k͡p̚ o ɴ ð œ t̪ʰ e ʂ ɒ w o m j ɯ j t̪ i ɴ ɪ tʂʰ uə o ʌ ɴ iː t͡ɕ i ʔ a m p i ɴ tʰ a tɕ i ɴ iː e tʂʰ uə a ɴ ә f ʌ ɴ ɪ tʂʰ uə o ʁ ʂ l ɒ n tsʰ iː a ɴ ts uə ɕ i ə ŋ t ə ɲ ð ɻ̩ ʌ ʂ tʂ a o pʰ ɪ s ɪ z d ɒ tʰ e ɪ t̪ ts ʌ ŋ̟ ʂ o uə s̪ a f i ə ɴ ts uə a ɪ b̥ a ɾ i
71258,ɔ w a l ɑ n v ɪ f iː l ɪ tʰ ts a j d æ f t ə n a j n ɛ ɪ n w ɪ t͡ʃʲ k æ tʰ ɪ s k ɪ t d ɪ s k iː ts ə v ʌ s ə m ɪ n m a j m d ə n g ɟ ɪ p t ɪ ә s d e j ɪ m d i p ɪ ŋ s ɻ̩ ə n ɑ f ɪ l ə a n æ n v æ n ʁ ə n dʒ t ɑ ɾ ʌ s ə n m e j d j ə w ʌ n d ʌ m x ɛ s k ɪ t f i l ɹ̩ s k ɪ p ts iː ð ts ɛ z ə ð ɛ f iː l ə f ʏ l m t i m ɕ ɒ f ɑ ʁ ɕ i n ə n b n b ʌ ʁ uː ə ʊ n t̪ ɪ x v ɨ ə tʲ ɪ ə n i m a n ɡ e ɡ ə n a n d ə a l̪ f ʀ ɛ x n ə n ɔ ɾ ə m ɪ t n a n ð ə m ɛ s ə n v a l ð ə h ɑ l ɒ f i ʀ ə ɑ ɾ uː l v a z ɹ̩ ə x ʁ ɔ t ɒ f ɪ x t ə m
71259,ij j a ʃ k ɔ x ә ɴ ɡ j e ɳ iː o n s̪ b̞ a ʔ a ɾ ʌ ɒ ʔ æ ɾ ɪ ð u ə ɕ uə tʲ iː s̪ k e d iː ɴ d e f e ʃ kʰ ɔ ɛ s̪ o uə t͡ʃ uə b uə a ɒ j t̪ ә m b a ð a œ ɾ d ɪ s̪ e s̪ m iː ʃ ʔ a b ɒ ʁ uː l̪ b̞ i ə k͡p̚ ʌ n m ɒ w ә s̪ ɳ t ɔ ɾ s ɨ t̪ ɒ t ɪ h ɒ z ɒ o uə lʲ ɒ ɕ e ʔ ŋ v e ɕ i ts ɪ tʂ uə ɒ ɴ ɒ k͡p̚ uə ʂ ɻ̩ d ɒ ɪ tʰ i a ɒ a t ɒ s m a n ɕ ʌ b ɒ x ʁ ʌ e t͡ʃʲ t ɪ
71260,ɪ mʲ ɪ n ts v i ʃ ə n a ʐ ɻ̩ ɪ x k a ʊ ə m n ɔ ʁ x s p ɔ ə t ə v ə n ɪ b ə h a uə p ɹ̩ ʀ ɑ f ɔ n a ə b̞ ə ɪ x ə ʁ m ɑ ŋ ɡ ɛ ts a ɪ t s l a ɪ tʲ ɛ t ð ə ɾʲ i ɔ n t i pʲ iː ʀ ɛ t ə t ə ɪ n w ɯ m ə b̥ ʌ n tʰ ɪ z ɯ m ɑ ʁ tʲ i ts ɨ p ɑ ɾ ə k iː rː i t ə n ɑ l̪ n o w ð ə n æ tʰ ɹ̩ ɕ ɒ l x ɒ lʲ ə s t ɒ s ə n ə l ɒ s ɻ̩ l i k iː tʰ ʌ m ɪ m ə n ɔ ɹ s ɛ g æ n ə t ɔ n ɪ t ə ɹ̩ m i ɑ v ɤ s iː t͡ʃʲ t ɛ ʁ x ə n m ɑ ɹ d ɒ m k ʌ p ə n g ɛ ɹ ɪ t ə w ʌ ɹ ɳ i ɪ z ɪ z æ z ɪ ð æ s̪ ɪ tʰ ə z æ ɲ h ɹ̩ v a j d ə n d k ə n s ɛ p t s æ z ʌ v ə m ɪ ɾ ə s ɾ ɒ l x h ɒ s ʌ n t ə ɛ ɟ ɛ n ə l ɒ d i ɹ̩ ð i d æ x n t h i m ʌ n d lʲ iː t æ n k æ n d ɪ s t ɹ i n ɪ ŋ z h ɒ j t ɔ ŋ æ n w ʌ z t k æ l ɒ l p ɑ l̪ l h ʌ t̪ ɪ n t iː d͡ʒ u uə k ә ə ɟ iː z t ə s t ɛ tʰ f ɹ ɒ d ɛ n t æ n g ɛ ɾ ə t u n ə s ɒ lʲ ɹ̩ v æ n tʂ ə n iː s b̥ a j n tʰ o m o w ʌ n t ɨ ɾ ə m p ɒ s iː n ə n iː ʂ f uə ɑ ð ɹ̩
